numStations=3
Station 0:Luca: (43.109762, -77.410156)
Station 1:Connor: (40.73902,-73.14815)
Station 2:Anthony: (39.7744, -76.679444)
numEvents=3
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-03-23T05:01:52.441     437.15661488     437.15660703    437.15662271   437.15846366     437.15845965    437.15846766   437.15777602     437.15776918    437.15778282
2020-03-23T05:01:52.941     437.15660179     437.15659390    437.15660965   437.15845697     437.15845293    437.15846099   437.15776461     437.15775774    437.15777146
2020-03-23T05:01:53.441     437.15658863     437.15658071    437.15659653   437.15845023     437.15844617    437.15845428   437.15775314     437.15774622    437.15776003
2020-03-23T05:01:53.941     437.15657542     437.15656746    437.15658336   437.15844345     437.15843937    437.15844752   437.15774159     437.15773462    437.15774853
2020-03-23T05:01:54.441     437.15656215     437.15655416    437.15657012   437.15843664     437.15843253    437.15844073   437.15772996     437.15772295    437.15773695
2020-03-23T05:01:54.941     437.15654881     437.15654079    437.15655682   437.15842978     437.15842565    437.15843390   437.15771826     437.15771121    437.15772529
2020-03-23T05:01:55.441     437.15653542     437.15652735    437.15654346   437.15842288     437.15841872    437.15842702   437.15770649     437.15769939    437.15771356
2020-03-23T05:01:55.941     437.15652197     437.15651386    437.15653005   437.15841594     437.15841176    437.15842011   437.15769464     437.15768749    437.15770176
2020-03-23T05:01:56.441     437.15650845     437.15650031    437.15651657   437.15840896     437.15840475    437.15841315   437.15768271     437.15767552    437.15768988
2020-03-23T05:01:56.941     437.15649487     437.15648670    437.15650303   437.15840194     437.15839771    437.15840616   437.15767071     437.15766347    437.15767792
2020-03-23T05:01:57.441     437.15648123     437.15647302    437.15648943   437.15839488     437.15839062    437.15839912   437.15765862     437.15765134    437.15766588
2020-03-23T05:01:57.941     437.15646753     437.15645929    437.15647576   437.15838777     437.15838349    437.15839204   437.15764647     437.15763913    437.15765377
2020-03-23T05:01:58.441     437.15645377     437.15644549    437.15646204   437.15838062     437.15837631    437.15838492   437.15763423     437.15762685    437.15764158
2020-03-23T05:01:58.941     437.15643995     437.15643162    437.15644825   437.15837343     437.15836910    437.15837775   437.15762191     437.15761448    437.15762931
2020-03-23T05:01:59.441     437.15642606     437.15641770    437.15643440   437.15836620     437.15836184    437.15837054   437.15760951     437.15760204    437.15761696
2020-03-23T05:01:59.941     437.15641211     437.15640371    437.15642049   437.15835892     437.15835453    437.15836329   437.15759704     437.15758951    437.15760453
2020-03-23T05:02:00.441     437.15639810     437.15638966    437.15640652   437.15835160     437.15834719    437.15835600   437.15758448     437.15757691    437.15759202
2020-03-23T05:02:00.941     437.15638403     437.15637555    437.15639248   437.15834424     437.15833980    437.15834866   437.15757184     437.15756422    437.15757944
2020-03-23T05:02:01.441     437.15636989     437.15636138    437.15637838   437.15833683     437.15833236    437.15834128   437.15755912     437.15755145    437.15756676
2020-03-23T05:02:01.941     437.15635569     437.15634714    437.15636422   437.15832938     437.15832488    437.15833385   437.15754632     437.15753860    437.15755401
2020-03-23T05:02:02.441     437.15634142     437.15633283    437.15634999   437.15832188     437.15831736    437.15832638   437.15753344     437.15752567    437.15754118
2020-03-23T05:02:02.941     437.15632709     437.15631846    437.15633570   437.15831434     437.15830979    437.15831887   437.15752047     437.15751265    437.15752826
2020-03-23T05:02:03.441     437.15631270     437.15630403    437.15632134   437.15830675     437.15830217    437.15831131   437.15750742     437.15749954    437.15751526
2020-03-23T05:02:03.941     437.15629824     437.15628954    437.15630692   437.15829912     437.15829451    437.15830370   437.15749428     437.15748636    437.15750217
2020-03-23T05:02:04.441     437.15628372     437.15627497    437.15629244   437.15829144     437.15828681    437.15829605   437.15748106     437.15747308    437.15748900
2020-03-23T05:02:04.941     437.15626913     437.15626035    437.15627789   437.15828371     437.15827906    437.15828835   437.15746775     437.15745973    437.15747575
2020-03-23T05:02:05.441     437.15625448     437.15624566    437.15626328   437.15827594     437.15827126    437.15828061   437.15745436     437.15744628    437.15746240
2020-03-23T05:02:05.941     437.15623976     437.15623090    437.15624860   437.15826812     437.15826341    437.15827282   437.15744088     437.15743275    437.15744898
2020-03-23T05:02:06.441     437.15622498     437.15621608    437.15623386   437.15826026     437.15825552    437.15826498   437.15742731     437.15741913    437.15743546
2020-03-23T05:02:06.941     437.15621013     437.15620119    437.15621905   437.15825235     437.15824758    437.15825710   437.15741366     437.15740542    437.15742186
2020-03-23T05:02:07.441     437.15619522     437.15618624    437.15620417   437.15824439     437.15823959    437.15824917   437.15739991     437.15739163    437.15740817
2020-03-23T05:02:07.941     437.15618024     437.15617122    437.15618923   437.15823638     437.15823155    437.15824119   437.15738608     437.15737774    437.15739439
