numStations=3
Station 0:Brockport University
Station 1:Mees Bristol
Station 2:Webster HS
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-11T22:34:51.250     437.00432770     437.00432092    437.00433447   437.00448338     437.00447653    437.00449023   437.00447871     437.00447203    437.00448538
2020-02-11T22:35:51.250     437.00281845     437.00281017    437.00282672   437.00294646     437.00293798    437.00295493   437.00298511     437.00297688    437.00299333
2020-02-11T22:36:51.250     437.00105233     437.00104307    437.00106159   437.00112753     437.00111795    437.00113710   437.00121977     437.00121046    437.00122907
2020-02-11T22:37:51.250     436.99917546     436.99916613    436.99918480   436.99918281     436.99917313    436.99919249   436.99932492     436.99931545    436.99933439
2020-02-11T22:38:51.250     436.99738263     436.99737418    436.99739109   436.99732698     436.99731826    436.99733572   436.99750016     436.99749152    436.99750880
2020-02-11T22:39:51.250     436.99583073     436.99582372    436.99583774   436.99573220     436.99572504    436.99573937   436.99591267     436.99590550    436.99591986
2020-02-11T22:40:51.250     436.99458639     436.99458095    436.99459184   436.99446750     436.99446200    436.99447301   436.99463740     436.99463182    436.99464299
2020-02-11T22:41:51.250     436.99363873     436.99363466    436.99364280   436.99351597     436.99351191    436.99352004   436.99366651     436.99366234    436.99367068
2020-02-11T22:42:51.250     436.99293956     436.99293659    436.99294253   436.99282217     436.99281924    436.99282510   436.99295128     436.99294825    436.99295432
2020-02-11T22:43:51.250     436.99243426     436.99243214    436.99243639   436.99232624     436.99232417    436.99232831   436.99243533     436.99243317    436.99243750
2020-02-11T22:44:51.250     436.99207571     436.99207422    436.99207720   436.99197810     436.99197666    436.99197954   436.99206982     436.99206831    436.99207134
Access Number: 1            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-12T00:10:34.740     437.00826228     437.00825968    437.00826488   437.00842678     437.00842440    437.00842917   437.00833471     437.00833225    437.00833717
2020-02-12T00:11:34.740     437.00758990     437.00758565    437.00759415   437.00780441     437.00780043    437.00780838   437.00769751     437.00769347    437.00770155
2020-02-12T00:12:34.740     437.00649429     437.00648739    437.00650118   437.00676743     437.00676081    437.00677403   437.00665424     437.00664765    437.00666082
2020-02-12T00:13:34.740     437.00475246     437.00474177    437.00476313   437.00506887     437.00505827    437.00507945   437.00498032     437.00496998    437.00499064
2020-02-12T00:14:34.740     437.00221632     437.00220184    437.00223079   437.00250272     437.00248780    437.00251762   437.00250054     437.00248623    437.00251485
2020-02-12T00:15:34.740     436.99915683     436.99914140    436.99917226   436.99930562     436.99928934    436.99932191   436.99943409     436.99941843    436.99944976
2020-02-12T00:16:34.740     436.99630952     436.99629695    436.99632210   436.99629986     436.99628665    436.99631308   436.99651306     436.99650006    436.99652608
2020-02-12T00:17:34.740     436.99420432     436.99419581    436.99421285   436.99410823     436.99409949    436.99411700   436.99432561     436.99431674    436.99433449
2020-02-12T00:18:34.740     436.99283955     436.99283423    436.99284489   436.99272153     436.99271619    436.99272688   436.99290410     436.99289856    436.99290965
2020-02-12T00:19:34.740     436.99199561     436.99199234    436.99199889   436.99188398     436.99188077    436.99188719   436.99202742     436.99202403    436.99203081
2020-02-12T00:20:34.740     436.99147816     436.99147616    436.99148017   436.99138059     436.99137866    436.99138252   436.99149184     436.99148977    436.99149391
2020-02-12T00:21:34.740     436.99116246     436.99116125    436.99116368   436.99107896     436.99107782    436.99108011   436.99116591     436.99116466    436.99116716
2020-02-12T00:22:34.740     436.99097494     436.99097424    436.99097564   436.99090340     436.99090276    436.99090405   436.99097233     436.99097161    436.99097306
2020-02-12T00:23:34.740     436.99087248     436.99087213    436.99087283   436.99081057     436.99081027    436.99081088   436.99086607     436.99086571    436.99086644
2020-02-12T00:24:34.740     436.99082928     436.99082918    436.99082937   436.99077498     436.99077492    436.99077505   436.99082032     436.99082021    436.99082043
Access Number: 2            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-12T01:48:19.362     437.00913400     437.00913270    437.00913529   437.00924523     437.00924413    437.00924632   437.00916272     437.00916151    437.00916393
2020-02-12T01:49:19.362     437.00877720     437.00877481    437.00877958   437.00893866     437.00893659    437.00894072   437.00882772     437.00882548    437.00882996
2020-02-12T01:50:19.362     437.00811670     437.00811224    437.00812114   437.00835913     437.00835518    437.00836306   437.00820770     437.00820351    437.00821186
2020-02-12T01:51:19.362     437.00686738     437.00685889    437.00687585   437.00723535     437.00722759    437.00724308   437.00703563     437.00702766    437.00704358
2020-02-12T01:52:19.362     437.00452847     437.00451313    437.00454377   437.00503834     437.00502352    437.00505312   437.00482599     437.00481138    437.00484057
2020-02-12T01:53:19.362     437.00078211     437.00076092    437.00080328   437.00127059     437.00124850    437.00129265   437.00118968     437.00116868    437.00121067
2020-02-12T01:54:19.362     436.99669899     436.99668093    436.99671709   436.99691269     436.99689316    436.99693226   436.99704458     436.99702582    436.99706337
2020-02-12T01:55:19.362     436.99383290     436.99382223    436.99384361   436.99383300     436.99382169    436.99384434   436.99403297     436.99402166    436.99404432
2020-02-12T01:56:19.362     436.99225072     436.99224510    436.99225636   436.99218297     436.99217722    436.99218875   436.99235278     436.99234681    436.99235877
2020-02-12T01:57:19.362     436.99141787     436.99141489    436.99142087   436.99134251     436.99133954    436.99134549   436.99146987     436.99146671    436.99147304
2020-02-12T01:58:19.362     436.99097094     436.99096932    436.99097257   436.99090317     436.99090160    436.99090475   436.99099771     436.99099600    436.99099943
2020-02-12T01:59:19.362     436.99072879     436.99072793    436.99072966   436.99067040     436.99066957    436.99067122   436.99074201     436.99074109    436.99074293
2020-02-12T02:00:19.362     436.99060353     436.99060311    436.99060395   436.99055313     436.99055274    436.99055351   436.99060883     436.99060838    436.99060928
2020-02-12T02:01:19.362     436.99055058     436.99055045    436.99055071   436.99050638     436.99050628    436.99050649   436.99055084     436.99055069    436.99055099
2020-02-12T02:02:19.362     436.99054596     436.99054588    436.99054603   436.99050643     436.99050633    436.99050652   436.99054276     436.99054271    436.99054282
2020-02-12T02:03:19.362     436.99057600     436.99057578    436.99057622   436.99053993     436.99053969    436.99054017   436.99057025     436.99057004    436.99057046
Access Number: 3            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-12T03:26:44.373     437.00888383     437.00888213    437.00888554   437.00900422     437.00900274    437.00900570   437.00890294     437.00890130    437.00890457
2020-02-12T03:27:44.373     437.00842562     437.00842262    437.00842862   437.00860292     437.00860027    437.00860556   437.00846493     437.00846206    437.00846779
2020-02-12T03:28:44.373     437.00761448     437.00760913    437.00761982   437.00788213     437.00787734    437.00788691   437.00769232     437.00768724    437.00769740
2020-02-12T03:29:44.373     437.00616693     437.00615742    437.00617641   437.00656912     437.00656038    437.00657783   437.00631765     437.00630862    437.00632665
2020-02-12T03:30:44.373     437.00369037     437.00367496    437.00370576   437.00423473     437.00421983    437.00424960   437.00395559     437.00394079    437.00397036
2020-02-12T03:31:44.373     437.00014988     437.00013083    437.00016893   437.00068976     437.00067005    437.00070946   437.00050692     437.00048805    437.00052579
2020-02-12T03:32:44.373     436.99655595     436.99654011    436.99657182   436.99688183     436.99686475    436.99689894   436.99687894     436.99686264    436.99689527
2020-02-12T03:33:44.373     436.99398705     436.99397716    436.99399697   436.99410625     436.99409560    436.99411693   436.99420411     436.99419370    436.99421455
2020-02-12T03:34:44.373     436.99247396     436.99246838    436.99247956   436.99249111     436.99248522    436.99249702   436.99260468     436.99259876    436.99261062
2020-02-12T03:35:44.373     436.99162605     436.99162292    436.99162919   436.99160476     436.99160152    436.99160800   436.99170433     436.99170100    436.99170766
2020-02-12T03:36:44.373     436.99114791     436.99114613    436.99114969   436.99111420     436.99111239    436.99111601   436.99119585     436.99119396    436.99119775
2020-02-12T03:37:44.373     436.99087730     436.99087631    436.99087830   436.99084064     436.99083964    436.99084164   436.99090716     436.99090610    436.99090823
2020-02-12T03:38:44.373     436.99072969     436.99072917    436.99073021   436.99069325     436.99069274    436.99069376   436.99074815     436.99074759    436.99074872
2020-02-12T03:39:44.373     436.99065993     436.99065973    436.99066013   436.99062461     436.99062441    436.99062480   436.99067079     436.99067056    436.99067103
2020-02-12T03:40:44.373     436.99064285     436.99064283    436.99064287   436.99060869     436.99060867    436.99060872   436.99064835     436.99064834    436.99064835
2020-02-12T03:41:44.373     436.99066370     436.99066351    436.99066388   436.99063048     436.99063030    436.99063067   436.99066521     436.99066504    436.99066537
Access Number: 4            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-12T05:05:51.928     437.00695144     437.00694703    437.00695583   437.00715802     437.00715393    437.00716211   437.00699129     437.00698702    437.00699556
2020-02-12T05:06:51.928     437.00587973     437.00587330    437.00588614   437.00615544     437.00614939    437.00616147   437.00595237     437.00594615    437.00595858
2020-02-12T05:07:51.928     437.00435121     437.00434229    437.00436012   437.00470254     437.00469397    437.00471109   437.00447093     437.00446227    437.00447957
2020-02-12T05:08:51.928     437.00232223     437.00231097    437.00233348   437.00272805     437.00271694    437.00273915   437.00249651     437.00248551    437.00250750
2020-02-12T05:09:51.928     436.99994271     436.99993049    436.99995493   437.00034305     437.00033061    437.00035548   437.00015761     437.00014552    437.00016971
2020-02-12T05:10:51.928     436.99757418     436.99756304    436.99758533   436.99790044     436.99788880    436.99791208   436.99779436     436.99778314    436.99780558
2020-02-12T05:11:51.928     436.99557090     436.99556214    436.99557969   436.99579417     436.99578489    436.99580345   436.99576367     436.99575472    436.99577264
2020-02-12T05:12:51.928     436.99407037     436.99406409    436.99407666   436.99420418     436.99419753    436.99421086   436.99422297     436.99421648    436.99422946
2020-02-12T05:13:51.928     436.99302221     436.99301791    436.99302651   436.99309406     436.99308952    436.99309861   436.99313720     436.99313273    436.99314167
2020-02-12T05:14:51.928     436.99231358     436.99231070    436.99231646   436.99234666     436.99234364    436.99234969   436.99239879     436.99239579    436.99240180
2020-02-12T05:15:51.928     436.99184207     436.99184017    436.99184397   436.99185167     436.99184968    436.99185366   436.99190515     436.99190316    436.99190715
2020-02-12T05:16:51.928     436.99153348     436.99153225    436.99153470   436.99152877     436.99152749    436.99153005   436.99158036     436.99157906    436.99158165
2020-02-12T05:17:51.928     436.99133810     436.99133735    436.99133886   436.99132445     436.99132367    436.99132524   436.99137304     436.99137223    436.99137384
2020-02-12T05:18:51.928     436.99122341     436.99122300    436.99122383   436.99120394     436.99120351    436.99120438   436.99124939     436.99124894    436.99124984
